timestamp,event_type,key_state,mouse_x,mouse_y,mouse_button
1788199640.456504,mouse_move,,2244,355,
1788199640.464485,mouse_move,,2238,357,
1788199640.4724789,mouse_move,,2226,359,
1788199640.4804664,mouse_move,,2218,360,
1788199640.488546,mouse_move,,2201,367,
1788199640.4965353,mouse_move,,2177,371,
1788199640.5045073,mouse_move,,2155,375,
1788199640.5125754,mouse_move,,2128,380,
1788199640.520558,mouse_move,,2109,382,
1788199640.5285306,mouse_move,,2087,389,
1788199640.5365381,mouse_move,,2046,394,
1788199640.5445473,mouse_move,,1998,403,
1788199640.5526025,mouse_move,,1947,409,
1788199640.5605304,mouse_move,,1911,414,
1788199640.5684986,mouse_move,,1865,420,
1788199640.57657,mouse_move,,1829,425,
1788199640.5845354,mouse_move,,1795,427,
1788199640.5925207,mouse_move,,1768,432,
1788199640.6005163,mouse_move,,1741,434,
1788199640.6085987,mouse_move,,1722,438,
1788199640.6165726,mouse_move,,1706,440,
1788199640.6244845,mouse_move,,1689,444,
1788199640.632519,mouse_move,,1680,448,
1788199640.6405659,mouse_move,,1676,448,
1788199640.6485014,mouse_move,,1670,448,
1788199640.656538,mouse_move,,1669,449,
1788199640.6725245,mouse_move,,1668,450,
1788199640.6805587,mouse_move,,1665,451,
1788199640.7205386,mouse_move,,1664,451,
1788199640.7364907,mouse_move,,1661,453,
1788199640.7685962,mouse_move,,1659,454,
1788199640.784511,mouse_move,,1656,454,
1788199640.7927186,mouse_move,,1652,454,
1788199640.8005445,mouse_move,,1651,454,
1788199640.8085043,mouse_move,,1647,454,
1788199640.8165348,mouse_move,,1641,454,
1788199640.8245497,mouse_move,,1638,454,
1788199640.8325129,mouse_move,,1630,454,
1788199640.8405573,mouse_move,,1624,454,
1788199640.848476,mouse_move,,1616,454,
1788199640.8566287,mouse_move,,1606,454,
1788199640.8645806,mouse_move,,1595,454,
1788199640.8725436,mouse_move,,1579,454,
1788199640.8804748,mouse_move,,1563,454,
1788199640.8885517,mouse_move,,1541,454,
1788199640.89654,mouse_move,,1512,454,
1788199640.9044964,mouse_move,,1479,456,
1788199640.9125266,mouse_move,,1441,456,
1788199640.9205432,mouse_move,,1365,456,
1788199640.9284751,mouse_move,,1305,456,
1788199640.9364862,mouse_move,,1234,456,
1788199640.944531,mouse_move,,1164,456,
1788199640.9525807,mouse_move,,1077,456,
1788199640.9605336,mouse_move,,1001,456,
1788199640.9685557,mouse_move,,920,456,
1788199640.976444,mouse_move,,833,456,
1788199640.9844854,mouse_move,,762,456,
1788199640.9925015,mouse_move,,686,456,
1788199641.000543,mouse_move,,632,456,
1788199641.0085144,mouse_move,,581,455,
1788199641.0165474,mouse_move,,552,452,
1788199641.0244546,mouse_move,,522,448,
1788199641.0324667,mouse_move,,495,443,
1788199641.0405047,mouse_move,,476,441,
1788199641.0485063,mouse_move,,460,437,
1788199641.056537,mouse_move,,443,433,
1788199641.0644605,mouse_move,,429,429,
1788199641.072519,mouse_move,,417,423,
1788199641.0805323,mouse_move,,406,419,
1788199641.0885828,mouse_move,,397,413,
1788199641.0965574,mouse_move,,385,408,
1788199641.104473,mouse_move,,375,400,
1788199641.112528,mouse_move,,361,394,
1788199641.120541,mouse_move,,344,383,
1788199641.1284947,mouse_move,,329,375,
1788199641.136524,mouse_move,,310,368,
1788199641.1445434,mouse_move,,290,360,
1788199641.152524,mouse_move,,273,351,
1788199641.1604712,mouse_move,,259,345,
1788199641.168521,mouse_move,,242,336,
1788199641.1765156,mouse_move,,228,330,
1788199641.1845043,mouse_move,,216,326,
1788199641.1925707,mouse_move,,207,321,
1788199641.2004824,mouse_move,,200,318,
1788199641.2085,mouse_move,,197,315,
1788199641.216469,mouse_move,,194,310,
1788199641.2245324,mouse_move,,192,307,
1788199641.2325006,mouse_move,,192,305,
1788199641.240528,mouse_move,,192,304,
1788199641.2484612,mouse_move,,192,301,
1788199641.256516,mouse_move,,192,300,
1788199641.2644987,mouse_move,,193,298,
1788199641.2725198,mouse_move,,198,296,
1788199641.2805128,mouse_move,,200,296,
1788199641.2885718,mouse_move,,206,293,
1788199641.296515,mouse_move,,209,292,
1788199641.3044662,mouse_move,,220,290,
1788199641.312628,mouse_move,,231,284,
1788199641.3205235,mouse_move,,238,281,
1788199641.3285139,mouse_move,,245,275,
1788199641.336467,mouse_move,,254,270,
1788199641.3445735,mouse_move,,263,266,
1788199641.3525562,mouse_move,,270,263,
1788199641.3604753,mouse_move,,277,258,
1788199641.3685176,mouse_move,,286,254,
1788199641.3765557,mouse_move,,293,249,
